tx_base,tx_slope,dtx_base,dtx_slope,rx_base,rx_slope,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop
0.0,0.0,0.0,0.0,0.0,0.0,56.7,4.7,52,64,170,300,20.7,62.0,6,300,159,141,43.5,26.5
0.0,0.0,0.0,0.0,0.0,0.3,58.0,5.4,50,64,174,300,12.0,56.2,6,300,169,131,24.4,10.8
0.0,0.0,0.0,0.0,0.0,0.6,59.7,4.3,54,66,179,300,20.3,62.5,6,300,167,133,29.9,13.6
0.0,0.0,0.0,0.0,2.0,0.0,55.0,4.1,50,60,165,300,15.7,66.5,6,300,155,145,34.8,16.0
0.0,0.0,0.0,0.0,2.0,0.3,59.3,5.3,50,66,178,300,12.7,65.3,6,300,172,128,21.7,8.7
0.0,0.0,0.0,0.0,2.0,0.6,60.0,4.0,54,66,180,300,16.3,62.0,6,300,168,132,26.2,11.0
0.0,0.0,0.0,0.0,4.0,0.0,57.3,4.3,52,64,172,300,13.7,64.5,6,300,162,138,35.2,14.8
0.0,0.0,0.0,0.0,4.0,0.3,58.0,8.9,44,70,174,300,18.3,61.2,6,300,161,139,34.9,13.6
0.0,0.0,0.0,0.0,4.0,0.6,56.7,1.6,54,58,170,300,17.0,60.2,6,300,161,139,36.6,14.0
0.0,0.0,0.0,0.0,6.0,0.0,56.7,4.7,50,62,170,300,16.3,67.0,6,300,161,139,25.3,10.6
0.0,0.0,0.0,0.0,6.0,0.3,56.7,4.7,50,62,170,300,16.3,67.0,6,300,161,139,25.3,10.6
0.0,0.0,0.0,0.0,6.0,0.6,56.7,4.7,50,62,170,300,16.3,67.0,6,300,161,139,25.3,10.6
0.0,0.0,0.0,0.3,0.0,0.0,57.0,4.1,50,62,171,300,21.3,67.0,6,300,144,156,31.7,18.3
0.0,0.0,0.0,0.3,0.0,0.3,59.3,5.8,50,66,178,300,11.7,56.8,6,300,164,136,23.7,11.4
0.0,0.0,0.0,0.3,0.0,0.6,54.7,4.3,50,60,164,300,15.7,68.8,6,300,147,153,29.5,13.5
0.0,0.0,0.0,0.3,2.0,0.0,53.0,4.7,46,58,159,300,18.0,67.7,6,300,139,161,18.5,8.2
