tx_base,tx_slope,dtx_base,dtx_slope,rx_base,rx_slope,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
0.0,0.0,0.0,0.0,3.0,0.4,51.7,3.4,46,56,155,300,22.0,62.2,48.3,39.0,12.0,37.3,6,300,135,165,37.9,14.1,46.9,47.5,0.6,0.0
0.0,0.0,1.0,0.0,0.0,0.6,50.7,4.8,42,56,152,300,15.0,73.3,47.3,25.3,12.0,21.2,6,300,119,181,50.0,18.4,45.8,46.1,0.5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,50.3,3.9,44,54,151,300,19.0,66.7,49.7,35.5,12.3,29.7,6,300,130,170,35.6,17.5,43.1,45.4,0.6,0.0
0.0,0.0,0.0,0.0,0.0,0.6,49.3,5.6,42,56,148,300,17.0,69.7,50.0,36.3,11.3,29.2,6,300,129,171,46.5,18.8,46.0,46.7,0.4,0.0
0.0,0.0,0.0,0.2,6.0,0.0,48.3,4.5,42,52,145,300,19.0,66.3,46.0,26.5,12.0,30.3,6,300,112,188,46.4,19.1,46.8,48.6,0.6,0.0
0.0,0.0,0.0,0.2,6.0,0.2,48.3,4.5,42,52,145,300,19.0,66.3,46.0,26.5,12.0,30.3,6,300,112,188,46.4,19.1,46.8,48.6,0.6,0.0
0.0,0.0,0.0,0.2,6.0,0.4,48.3,4.5,42,52,145,300,19.0,66.3,46.0,26.5,12.0,30.3,6,300,112,188,46.4,19.1,46.8,48.6,0.6,0.0
0.0,0.0,0.0,0.2,6.0,0.6,48.3,4.5,42,52,145,300,19.0,66.3,46.0,26.5,12.0,30.3,6,300,112,188,46.4,19.1,46.8,48.6,0.6,0.0
0.0,0.0,0.0,0.0,6.0,0.0,48.3,5.0,40,54,145,300,18.3,65.3,45.2,33.3,11.7,29.7,6,300,122,178,51.0,19.2,46.4,47.7,0.5,0.0
0.0,0.0,0.0,0.0,6.0,0.2,48.3,5.0,40,54,145,300,18.3,65.3,45.2,33.3,11.7,29.7,6,300,122,178,51.0,19.2,46.4,47.7,0.6,0.0
0.0,0.0,0.0,0.0,6.0,0.4,48.3,5.0,40,54,145,300,18.3,65.3,45.2,33.3,11.7,29.7,6,300,122,178,51.0,19.2,46.4,47.7,0.6,0.0
0.0,0.0,0.0,0.0,6.0,0.6,48.3,5.0,40,54,145,300,18.3,65.3,45.2,33.3,11.7,29.7,6,300,122,178,51.0,19.2,46.4,47.7,0.6,0.0
0.0,0.0,0.0,0.2,0.0,0.6,47.3,4.1,40,52,142,300,15.0,65.5,44.0,30.8,10.3,25.5,6,300,116,184,53.9,20.2,45.9,45.6,0.5,0.0
0.0,0.0,1.0,0.2,0.0,0.6,46.7,3.3,42,50,140,300,16.3,71.8,45.7,22.8,11.0,27.0,6,300,109,191,44.8,17.4,45.8,46.3,0.5,0.0
0.0,0.0,1.0,0.6,3.0,0.4,46.7,4.1,40,52,140,300,17.7,68.3,46.8,5.8,13.3,23.7,6,300,84,216,37.6,14.7,46.2,46.5,0.6,0.0
0.0,0.0,1.0,0.4,3.0,0.4,46.7,4.8,40,52,140,300,16.0,70.5,50.5,10.8,14.2,19.7,6,300,98,202,33.4,11.5,46.2,46.4,0.6,0.0
0.0,0.0,0.0,0.0,0.0,0.2,46.3,3.2,42,50,139,300,14.3,63.5,45.7,29.0,8.2,27.8,6,300,119,181,54.1,13.5,48.3,43.8,0.4,0.0
0.0,0.0,1.0,0.0,3.0,0.4,46.3,3.9,40,50,139,300,16.0,66.0,49.2,17.2,12.3,23.0,6,300,108,192,36.1,13.2,46.0,45.2,0.5,0.0
0.0,0.0,0.0,0.0,3.0,0.0,46.3,4.1,42,54,139,300,18.0,60.8,41.2,33.3,11.7,29.8,6,300,113,187,49.5,17.7,46.6,48.2,0.5,0.0
0.0,0.0,1.0,0.6,0.0,0.6,46.3,7.9,36,56,139,300,14.0,72.5,48.8,8.5,11.3,19.8,6,300,100,200,41.5,16.0,45.7,46.2,0.4,0.0
0.0,0.0,0.0,0.6,3.0,0.4,46.0,6.1,40,56,138,300,16.3,71.2,48.7,12.8,11.8,23.2,6,300,98,202,38.0,13.5,46.1,45.3,0.5,0.0
0.0,0.0,1.0,0.6,0.0,0.2,46.0,6.1,40,56,138,300,16.7,66.0,41.2,14.2,9.8,27.3,6,300,93,207,53.8,14.2,48.7,44.6,0.6,0.0
0.0,0.0,0.0,0.4,3.0,0.0,45.7,2.9,40,48,137,300,15.7,67.8,43.8,18.5,11.3,23.7,6,300,102,198,42.8,16.4,46.4,47.6,0.5,0.0
0.0,0.0,1.0,0.0,0.0,0.0,45.7,3.4,42,50,137,300,15.0,67.3,47.3,17.8,13.3,17.3,6,300,104,196,32.6,16.1,42.8,42.4,0.6,0.0
1.0,0.6,1.0,0.4,0.0,0.0,45.3,4.1,40,50,136,300,19.0,43.8,8.8,41.3,20.0,20.2,6,300,39,261,69.3,3.0,73.4,76.0,1.5,0.0
0.0,0.0,1.0,0.2,3.0,0.0,45.3,4.7,36,48,136,300,14.7,73.8,39.8,21.8,10.2,23.0,6,300,99,201,43.9,17.2,46.1,46.8,0.5,0.0
0.0,0.0,0.0,0.2,3.0,0.4,45.3,6.5,36,54,136,300,17.7,66.8,44.8,20.7,13.8,25.0,6,300,102,198,36.8,13.7,46.8,47.8,0.6,0.0
0.0,0.0,1.0,0.2,0.0,0.2,45.3,7.1,34,56,136,300,13.7,63.2,42.5,16.8,9.3,22.3,6,300,100,200,54.1,14.4,48.4,44.6,0.5,0.0
0.0,0.0,0.0,0.0,3.0,0.2,45.3,10.3,34,58,136,300,17.7,65.2,41.8,31.7,10.7,30.3,6,300,112,188,46.2,17.8,46.3,45.7,0.6,0.0
0.0,0.0,0.0,0.4,0.0,0.4,45.0,2.8,42,48,135,300,15.3,72.7,45.5,18.2,11.5,20.5,6,300,106,194,53.0,18.7,47.0,45.5,0.4,0.0
0.0,0.0,1.0,0.0,3.0,0.0,45.0,3.0,40,48,135,300,16.7,75.3,40.3,26.2,11.2,26.0,6,300,105,195,48.5,17.9,46.0,46.7,0.6,0.0
0.0,0.0,1.0,0.0,3.0,0.6,45.0,4.5,36,48,135,300,15.0,62.7,44.2,25.7,11.8,23.2,6,300,111,189,43.7,17.3,46.4,46.9,0.5,0.0
0.0,0.0,0.0,0.6,0.0,0.6,45.0,5.2,36,50,135,300,14.3,67.7,42.7,17.8,10.8,19.7,6,300,99,201,43.6,18.0,45.5,43.9,0.5,0.0
0.0,0.0,0.0,0.4,0.0,0.6,44.7,3.0,42,48,134,300,14.3,74.8,44.5,22.5,11.5,19.8,6,300,106,194,44.1,18.3,45.7,46.2,0.4,0.0
0.0,0.0,0.0,0.0,3.0,0.6,44.7,3.7,40,48,134,300,16.7,67.7,41.8,30.7,12.0,28.5,6,300,112,188,48.9,19.1,46.4,47.2,0.6,0.0
0.0,0.0,1.0,0.0,0.0,0.2,44.7,5.5,36,52,134,300,12.7,65.5,42.3,15.5,8.8,20.2,6,300,99,201,61.9,16.0,48.5,45.9,0.4,0.0
1.0,0.6,0.0,0.0,0.0,0.0,44.7,6.0,36,52,134,300,19.7,36.3,8.7,34.0,23.0,7.3,6,300,34,266,63.1,2.9,73.6,76.0,1.7,0.0
0.0,0.0,1.0,0.6,3.0,0.2,44.7,6.3,36,52,134,300,12.3,71.3,38.0,17.2,9.2,19.8,6,300,95,205,49.0,17.7,46.0,47.9,0.4,0.0
0.0,0.0,0.0,0.4,3.0,0.4,44.7,6.4,34,52,134,300,14.3,68.0,45.8,19.8,12.0,20.0,6,300,110,190,37.3,14.3,46.0,45.8,0.5,0.0
