tx_base,tx_slope,dtx_base,dtx_slope,rx_base,rx_slope,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop
1.5,0.6,1.0,0.6,0.5,0.3,49.3,4.8,42,56,148,300,24.7,64.2,6,300,58,242,63.8,0.4
1.0,0.6,0.0,0.3,1.5,0.3,49.0,1.1,48,50,147,300,23.0,64.3,6,300,66,234,59.1,0.5
1.0,0.6,1.5,0.6,1.0,0.6,48.3,4.5,40,52,145,300,21.0,62.5,6,300,64,236,64.4,0.4
1.5,0.6,1.5,0.6,0.5,0.3,48.0,3.3,44,54,144,300,24.7,65.0,6,300,63,237,68.2,0.5
0.5,0.6,0.0,0.3,1.0,0.6,48.0,5.1,40,54,144,300,22.0,70.0,6,300,68,232,74.9,0.7
1.5,0.6,0.0,0.6,0.5,0.3,47.7,5.1,44,56,143,300,24.3,59.0,6,300,67,233,65.5,0.5
0.5,0.6,0.5,0.3,0.5,0.6,47.3,5.5,40,56,142,300,22.3,60.3,6,300,63,237,64.5,0.5
0.5,0.6,0.0,0.3,0.5,0.3,47.3,6.8,38,56,142,300,22.0,67.5,6,300,63,237,65.9,0.4
0.5,0.3,1.5,0.3,0.0,0.3,47.3,9.8,38,66,142,300,22.3,64.3,6,300,63,237,73.2,0.7
1.5,0.6,1.0,0.6,0.0,0.3,47.0,2.8,44,52,141,300,23.7,61.5,6,300,59,241,71.4,0.6
0.0,0.6,0.5,0.3,0.0,0.3,47.0,3.7,44,54,141,300,22.0,66.0,6,300,64,236,72.0,0.6
1.5,0.6,0.0,0.3,0.0,0.3,47.0,3.9,40,50,141,300,22.3,61.8,6,300,56,244,75.5,0.5
1.5,0.6,0.5,0.6,0.0,0.3,47.0,6.9,36,54,141,300,22.0,62.8,6,300,53,247,67.4,0.6
1.5,0.6,1.0,0.3,0.5,0.3,46.7,3.9,44,54,140,300,23.3,62.8,6,300,59,241,66.3,0.5
1.0,0.6,0.0,0.6,0.5,0.3,46.7,4.1,42,54,140,300,22.3,67.3,6,300,58,242,68.6,0.5
1.0,0.6,1.0,0.6,1.0,0.3,46.7,4.1,40,52,140,300,22.3,64.8,6,300,61,239,64.5,0.5
0.5,0.6,1.5,0.6,0.0,0.6,46.7,7.1,36,54,140,300,24.7,61.7,6,300,61,239,56.5,0.4
1.5,0.6,0.0,0.6,0.0,0.3,46.7,7.7,32,54,140,300,22.3,60.8,6,300,55,245,72.8,0.6
1.5,0.6,1.0,0.3,0.5,0.6,46.3,2.9,42,50,139,300,23.3,55.8,6,300,61,239,67.2,0.5
