tx_base,tx_slope,dtx_base,dtx_slope,rx_base,rx_slope,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop
0.0,0.3,0.0,0.3,0.0,0.3,45.3,3.3,42,50,136,300,24.3,59.2,6,300,88,212,12.1,0.1
0.0,0.3,0.0,0.3,0.0,0.6,43.7,4.6,40,52,131,300,23.7,65.0,6,300,87,213,12.7,0.1
0.0,0.3,0.0,0.3,0.5,0.3,43.7,4.6,38,50,131,300,20.3,59.3,6,300,82,218,12.6,0.1
0.0,0.3,0.0,0.3,0.5,0.6,46.0,5.4,40,52,138,300,19.7,60.8,6,300,85,215,15.0,0.2
0.0,0.3,0.0,0.3,1.0,0.3,47.3,3.9,44,54,142,300,25.0,57.7,6,300,95,205,15.8,0.2
0.0,0.3,0.0,0.3,1.0,0.6,46.3,5.0,38,52,139,300,20.7,58.7,6,300,90,210,13.9,0.2
0.0,0.3,0.0,0.3,1.5,0.3,47.0,4.3,42,54,141,300,20.3,61.7,6,300,83,217,15.6,0.2
0.0,0.3,0.0,0.3,1.5,0.6,42.3,2.7,40,46,127,300,20.0,67.3,6,300,88,212,11.5,0.1
0.0,0.3,0.0,0.6,0.0,0.3,43.3,4.7,36,48,130,300,23.0,62.8,6,300,82,218,11.5,0.2
0.0,0.3,0.0,0.6,0.0,0.6,44.0,3.8,40,50,132,300,21.7,68.7,6,300,90,210,11.9,0.1
0.0,0.3,0.0,0.6,0.5,0.3,47.3,6.3,40,56,142,300,21.0,61.3,6,300,90,210,12.9,0.2
0.0,0.3,0.0,0.6,0.5,0.6,42.0,6.4,36,52,126,300,18.3,66.0,6,300,75,225,13.8,0.2
0.0,0.3,0.0,0.6,1.0,0.3,47.7,5.3,40,54,143,300,19.3,58.0,6,300,95,205,14.8,0.2
0.0,0.3,0.0,0.6,1.0,0.6,42.0,5.1,36,50,126,300,22.0,68.7,6,300,78,222,12.9,0.2
0.0,0.3,0.0,0.6,1.5,0.3,47.7,7.4,36,58,143,300,20.3,69.7,6,300,91,209,15.5,0.1
0.0,0.3,0.0,0.6,1.5,0.6,45.7,4.8,38,50,137,300,22.3,60.5,6,300,102,198,8.5,0.1
0.0,0.3,0.5,0.3,0.0,0.3,43.0,3.0,40,48,129,300,21.7,64.0,6,300,80,220,11.8,0.1
0.0,0.3,0.5,0.3,0.0,0.6,46.3,4.8,38,52,139,300,25.3,62.0,6,300,90,210,12.9,0.2
0.0,0.3,0.5,0.3,0.5,0.3,47.7,5.9,38,54,143,300,18.7,56.3,6,300,92,208,13.5,0.1
0.0,0.3,0.5,0.3,0.5,0.6,41.3,1.0,40,42,124,300,19.0,67.0,6,300,74,226,13.7,0.2
0.0,0.3,0.5,0.3,1.0,0.3,47.3,2.4,44,50,142,300,24.0,59.3,6,300,91,209,14.1,0.1
0.0,0.3,0.5,0.3,1.0,0.6,43.7,6.6,36,54,131,300,21.0,61.7,6,300,82,218,12.1,0.2
0.0,0.3,0.5,0.3,1.5,0.3,48.3,5.1,44,56,145,300,23.7,66.8,6,300,101,199,13.4,0.2
0.0,0.3,0.5,0.3,1.5,0.6,46.0,3.8,42,52,138,300,20.3,65.7,6,300,92,208,12.1,0.1
