tx_base,tx_slope,tx_pow,dtx_base,dtx_slope,dtx_pow,rx_base,rx_slope,rx_pow,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
2.1,0.4,1.9,0.8,0.2,1.9,0.0,0.0,1.0,57.0,4.9,48,62,171,300,32.7,69.5,10.7,31.8,41.3,22.8,6,300,60,240,47.4,3.1,79.0,80.6,2.2,0.0
1.8,0.4,1.9,0.8,0.6,1.9,0.0,0.0,1.0,56.7,4.1,52,64,170,300,32.0,67.3,13.3,19.2,33.5,30.2,6,300,47,253,51.2,2.9,78.9,82.2,2.1,0.0
2.1,0.4,1.9,0.8,0.6,1.9,0.0,0.0,1.0,58.0,2.5,54,60,174,300,38.3,72.0,14.3,21.3,41.7,35.3,6,300,52,248,43.4,2.5,78.0,79.9,2.0,0.0
2.1,0.4,1.9,1.1,0.6,1.9,0.0,0.0,1.0,57.0,4.9,52,64,171,300,37.7,72.8,13.5,26.3,44.2,31.8,6,300,58,242,41.9,2.5,78.2,80.7,2.0,0.0
2.1,0.2,1.9,0.8,0.6,1.9,0.0,0.0,1.0,57.0,5.3,48,64,171,300,38.7,75.0,15.0,25.3,33.7,44.8,6,300,59,241,37.5,2.3,78.7,81.7,2.0,0.0
1.8,0.4,1.5,1.4,0.4,1.9,0.0,0.0,1.0,58.0,6.7,48,66,174,300,35.7,74.0,10.0,23.5,35.3,36.0,6,300,52,248,52.8,2.7,77.4,80.5,2.0,0.0
2.4,0.4,1.5,1.1,0.6,1.9,0.0,0.0,1.0,54.0,2.5,50,56,162,300,36.7,65.5,11.2,22.7,38.8,36.0,6,300,50,250,45.0,2.8,78.8,81.0,1.9,0.0
2.1,0.4,1.9,0.8,0.4,1.9,0.0,0.0,1.0,57.7,5.1,50,66,173,300,36.3,69.7,13.5,25.3,43.2,29.0,6,300,57,243,52.9,2.9,78.1,80.4,1.9,0.0
1.8,0.4,1.9,1.1,0.6,1.9,0.0,0.0,1.0,59.3,6.9,50,68,178,300,33.7,63.3,11.7,25.5,33.8,34.7,6,300,49,251,49.3,3.2,78.7,82.0,1.9,0.0
2.1,0.4,1.9,1.4,0.4,1.9,0.0,0.0,1.0,55.3,4.7,50,62,166,300,37.0,70.7,14.7,27.0,44.3,30.0,6,300,60,240,43.9,2.6,78.6,80.6,1.9,0.0
2.1,0.4,1.9,1.4,0.6,1.5,0.0,0.0,1.0,55.0,4.3,50,60,165,300,34.7,68.7,10.5,26.3,39.5,29.2,6,300,53,247,50.1,3.0,79.2,80.9,1.9,0.0
2.4,0.4,1.9,1.1,0.6,1.9,0.0,0.0,1.0,55.7,4.6,48,62,167,300,34.7,65.5,13.7,21.8,42.5,27.2,6,300,52,248,45.8,3.0,79.5,81.7,1.9,0.0
1.8,0.4,1.1,1.1,0.6,1.9,0.0,0.0,1.0,51.7,3.9,46,56,155,300,34.0,79.2,23.7,18.5,36.3,33.0,6,300,60,240,28.9,1.9,76.9,79.2,1.8,0.0
2.4,0.4,1.5,0.8,0.6,1.9,0.0,0.0,1.0,56.7,4.3,50,62,170,300,35.7,72.5,13.8,21.7,38.2,33.8,6,300,53,247,45.6,2.7,78.2,80.6,1.8,0.0
2.4,0.2,1.9,1.1,0.6,1.9,0.0,0.0,1.0,59.0,4.9,52,64,177,300,38.0,69.7,12.2,27.5,38.8,42.2,6,300,57,243,44.7,2.3,77.5,80.0,1.8,0.0
2.1,0.4,1.9,1.1,0.4,1.9,0.0,0.0,1.0,57.0,5.6,52,68,171,300,36.0,73.8,12.7,27.2,41.3,30.7,6,300,57,243,48.9,3.0,78.7,80.9,1.8,0.0
2.1,0.4,1.5,1.4,0.6,1.9,0.0,0.0,1.0,56.0,7.8,42,62,168,300,32.0,77.0,16.7,20.8,31.3,34.2,6,300,55,245,51.9,2.8,77.1,80.2,1.8,0.0
2.1,0.4,1.9,1.1,0.6,1.5,0.0,0.0,1.0,58.3,2.9,54,62,175,300,34.3,70.8,12.5,27.3,37.3,31.7,6,300,57,243,55.6,3.6,78.5,80.9,1.8,0.0
2.4,0.2,1.9,1.4,0.6,1.9,0.0,0.0,1.0,56.7,9.4,46,70,170,300,32.7,70.7,11.2,24.3,33.0,37.0,6,300,49,251,46.3,2.6,78.0,80.7,1.8,0.0
2.4,0.4,1.5,1.4,0.6,1.9,0.0,0.0,1.0,55.3,4.8,50,64,166,300,36.3,67.3,12.2,22.3,38.3,34.7,6,300,53,247,42.1,2.7,78.3,80.4,1.8,0.0
2.4,0.4,1.1,1.4,0.4,1.9,0.0,0.0,1.0,53.0,4.9,46,60,159,300,33.0,82.3,21.3,20.7,29.8,36.5,6,300,63,237,29.2,1.6,75.8,78.3,1.8,0.0
2.1,0.4,1.9,0.8,0.6,0.7,0.0,0.0,1.0,55.3,3.3,52,60,166,300,36.7,62.5,9.7,34.0,44.5,29.2,6,300,63,237,49.2,3.0,78.6,80.9,1.8,0.0
1.8,0.4,1.9,1.4,0.6,1.9,0.0,0.0,1.0,56.7,4.8,50,64,170,300,34.7,69.7,12.7,28.2,34.0,36.0,6,300,56,244,47.1,2.8,78.7,80.8,1.7,0.0
2.1,0.4,1.5,1.1,0.6,1.9,0.0,0.0,1.0,54.3,4.6,48,60,163,300,30.0,81.8,15.8,21.0,30.2,29.8,6,300,54,246,49.3,2.6,77.7,80.9,1.7,0.0
2.1,0.4,1.9,1.1,0.2,0.7,0.0,0.0,1.0,58.3,3.2,56,64,175,300,36.0,67.5,11.3,37.8,40.5,31.3,6,300,68,232,50.8,3.2,78.4,80.4,1.7,0.0
