tx_base,tx_slope,dtx_base,dtx_slope,rx_base,rx_slope,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
1.5,0.4,1.0,0.4,2.0,0.0,51.0,3.7,46,56,153,300,35.3,65.0,11.7,43.2,22.7,52.0,6,300,74,226,3.5,1.0,89.2,89.9,1.5,0.0
1.5,0.4,1.0,0.4,2.0,0.2,53.3,5.8,46,62,160,300,35.7,61.2,11.5,44.2,21.5,54.8,6,300,75,225,3.5,1.0,89.2,89.7,1.5,0.0
2.0,0.0,1.0,0.4,4.0,0.2,56.3,5.4,48,62,169,300,37.0,50.0,15.7,49.0,23.2,54.8,6,300,92,208,3.4,0.9,88.9,89.5,1.4,0.0
2.0,0.2,1.0,0.4,0.0,0.0,56.7,6.8,46,64,170,300,37.3,57.5,14.3,49.2,21.0,64.8,6,300,84,216,3.8,1.1,89.4,90.1,1.4,0.0
2.0,0.2,1.0,0.4,2.0,0.0,54.0,7.7,46,64,162,300,35.7,58.7,13.5,48.3,22.3,55.7,6,300,84,216,3.6,1.1,89.3,90.2,1.4,0.0
2.0,0.0,1.0,0.4,4.0,0.0,55.7,4.8,48,62,167,300,38.3,50.3,16.3,50.5,24.5,54.8,6,300,96,204,3.3,0.8,88.7,89.2,1.4,0.0
2.0,0.2,0.5,0.4,0.0,0.0,52.3,4.1,48,60,157,300,32.3,56.3,11.3,50.0,18.8,53.7,6,300,79,221,3.6,1.1,89.1,89.8,1.4,0.0
2.0,0.2,1.0,0.4,2.0,0.2,52.3,8.9,42,64,157,300,35.7,57.2,12.0,46.3,21.3,56.8,6,300,79,221,3.6,1.1,89.5,90.1,1.4,0.0
2.0,0.4,1.0,0.4,0.0,0.2,48.3,4.8,44,56,145,300,30.7,57.3,10.8,41.2,18.0,51.5,6,300,68,232,3.1,1.0,89.9,91.2,1.4,0.0
2.0,0.2,0.5,0.4,2.0,0.2,50.7,5.0,46,60,152,300,35.0,61.3,12.2,48.8,23.7,52.7,6,300,81,219,3.1,1.0,89.5,90.0,1.3,0.0
2.0,0.2,1.0,0.4,2.0,0.4,52.0,8.4,42,64,156,300,33.7,55.8,13.7,42.8,23.8,46.7,6,300,78,222,3.2,1.0,89.5,89.7,1.3,0.0
2.0,0.2,1.0,0.4,4.0,0.2,52.7,7.0,44,64,158,300,34.7,54.7,13.5,44.0,21.0,56.7,6,300,77,223,3.2,0.9,89.6,90.0,1.3,0.0
2.0,0.2,1.0,0.4,4.0,0.4,54.3,6.1,44,60,163,300,34.7,54.0,13.7,46.7,22.8,54.0,6,300,80,220,3.2,1.0,89.4,89.7,1.3,0.0
2.0,0.0,1.0,0.4,4.0,0.4,54.7,4.8,48,62,164,300,35.0,53.7,16.2,46.2,22.0,51.2,6,300,90,210,3.3,0.8,88.9,89.6,1.3,0.0
2.0,0.2,1.0,0.4,4.0,0.0,51.7,5.3,46,60,155,300,33.7,54.0,15.2,49.7,21.5,56.0,6,300,82,218,3.2,0.9,89.8,90.0,1.3,0.0
1.5,0.4,1.0,0.2,0.0,0.0,57.7,4.3,54,64,173,300,36.3,55.5,11.0,56.3,22.5,57.2,6,300,88,212,3.4,1.0,89.6,90.7,1.3,0.0
1.5,0.4,1.0,0.4,0.0,0.0,50.0,3.1,46,54,150,300,35.0,64.7,11.3,45.2,20.5,54.7,6,300,77,223,3.2,0.8,89.6,90.2,1.3,0.0
2.0,0.0,1.0,0.4,0.0,0.2,55.3,5.9,48,64,166,300,37.3,55.8,16.3,40.5,25.7,48.8,6,300,87,213,2.9,0.8,89.3,90.1,1.3,0.0
2.0,0.4,1.0,0.2,0.0,0.4,49.0,3.3,44,52,147,300,34.7,64.2,7.7,44.5,22.8,51.0,6,300,71,229,3.3,1.0,89.8,90.4,1.3,0.0
1.5,0.4,0.5,0.2,2.0,0.0,55.0,3.7,52,62,165,300,34.0,57.3,12.5,56.8,20.5,60.0,6,300,87,213,3.8,1.1,89.4,90.1,1.3,0.0
1.5,0.4,0.5,0.4,0.0,0.0,54.0,3.6,50,60,162,300,36.0,58.5,12.7,46.3,26.7,52.0,6,300,80,220,3.6,1.0,89.1,89.5,1.3,0.0
2.0,0.2,0.5,0.4,2.0,0.4,51.3,6.2,46,60,154,300,34.7,58.5,12.7,51.3,22.8,53.0,6,300,84,216,3.1,1.0,89.5,90.1,1.3,0.0
2.0,0.2,0.5,0.4,4.0,0.0,51.3,7.4,40,60,154,300,31.7,58.8,13.0,49.5,21.7,49.2,6,300,82,218,3.0,1.0,89.5,90.0,1.3,0.0
2.0,0.2,1.0,0.4,0.0,0.2,50.3,6.4,42,58,151,300,32.0,57.5,12.5,51.8,20.5,53.2,6,300,83,217,3.4,1.0,89.1,89.6,1.3,0.0
2.0,0.4,1.0,0.4,2.0,0.0,51.7,6.4,44,60,155,300,34.3,59.3,10.2,47.8,22.0,52.7,6,300,78,222,3.4,1.1,89.7,90.4,1.3,0.0
