tx_base,tx_slope,tx_pow,dtx_base,dtx_slope,dtx_pow,rx_base,rx_slope,rx_pow,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
2.4,0.4,1.9,1.1,0.6,1.9,0.0,0.0,1.0,60.0,6.7,50,68,180,300,39.7,74.3,9.0,27.5,44.7,34.5,6,300,55,245,19.9,3.0,84.1,85.6,2.7,0.0
2.1,0.2,1.1,0.8,0.6,1.9,0.0,0.0,1.0,55.7,4.1,52,60,167,300,42.0,81.3,20.7,20.7,48.8,39.0,6,300,60,240,13.7,2.3,83.2,84.0,2.4,0.0
2.1,0.2,1.1,1.4,0.6,1.9,0.0,0.0,1.0,56.3,3.2,52,60,169,300,39.3,84.7,14.2,23.5,43.0,37.7,6,300,56,244,17.0,2.9,82.9,83.7,2.4,0.0
2.4,0.4,1.9,1.1,0.2,1.9,0.0,0.0,1.0,55.0,4.7,50,62,165,300,33.7,73.3,10.7,24.2,38.7,27.5,6,300,50,250,21.4,3.5,84.0,85.2,2.4,0.0
2.4,0.4,1.9,1.1,0.4,1.1,0.0,0.0,1.0,60.7,5.3,52,66,182,300,37.7,69.8,10.7,30.0,43.8,30.7,6,300,56,244,19.8,3.3,84.1,85.4,2.3,0.0
2.1,0.4,1.9,1.1,0.6,1.9,0.0,0.0,1.0,59.3,7.7,50,68,178,300,34.3,78.5,12.0,26.7,34.0,35.3,6,300,55,245,17.8,3.1,84.9,86.1,2.3,0.0
2.4,0.4,1.9,1.4,0.6,1.1,0.0,0.0,1.0,53.0,10.5,34,66,159,300,34.7,79.2,11.0,24.0,41.3,27.8,6,300,51,249,18.8,3.0,84.4,85.5,2.3,0.0
2.1,0.4,1.9,1.4,0.6,1.5,0.0,0.0,1.0,60.3,5.0,52,66,181,300,36.3,61.5,14.3,24.5,40.2,30.8,6,300,57,243,18.0,3.3,84.9,86.0,2.3,0.0
2.4,0.4,1.9,1.4,0.4,1.1,0.0,0.0,1.0,56.3,5.3,48,64,169,300,35.3,78.0,13.3,25.8,41.0,29.3,6,300,56,244,20.8,3.1,84.2,85.6,2.3,0.0
2.1,0.4,1.5,1.1,0.6,1.9,0.0,0.0,1.0,53.7,6.9,44,62,161,300,37.0,80.2,15.5,22.7,38.7,35.2,6,300,57,243,14.5,2.6,85.0,86.0,2.3,0.0
2.1,0.2,1.1,1.4,0.4,1.9,0.0,0.0,1.0,56.7,6.8,50,64,170,300,38.0,82.7,16.7,25.2,40.3,36.8,6,300,63,237,16.4,2.6,83.0,84.0,2.3,0.0
2.4,0.4,1.9,0.8,0.4,1.9,0.0,0.0,1.0,57.7,7.3,44,66,173,300,34.3,77.8,13.3,22.5,37.2,31.2,6,300,53,247,20.5,3.2,83.7,85.0,2.2,0.0
