tx_base,tx_slope,tx_pow,dtx_base,dtx_slope,dtx_pow,rx_base,rx_slope,rx_pow,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
1.8,0.2,1.9,1.1,0.4,1.5,5.0,0.4,1.0,52.3,6.9,44,64,157,300,34.3,74.0,23.3,23.8,40.5,30.0,6,300,71,229,42.0,2.2,78.1,79.9,1.5,0.0
1.8,0.2,1.9,1.1,0.4,1.5,10.0,0.2,1.0,57.7,6.0,52,66,173,300,32.7,76.0,18.5,27.3,36.3,29.2,6,300,68,232,53.0,2.8,76.7,78.2,1.4,0.0
1.8,0.2,1.9,1.1,0.4,1.5,0.0,0.0,1.0,56.3,4.1,50,62,169,300,38.0,73.7,20.0,30.3,41.5,33.8,6,300,77,223,46.4,2.4,77.2,78.7,1.4,0.0
1.8,0.2,1.9,1.1,0.4,1.5,10.0,0.4,1.0,56.7,6.3,50,68,170,300,32.7,76.0,20.7,26.7,37.8,27.5,6,300,71,229,48.7,2.7,77.5,79.1,1.4,0.0
1.8,0.2,1.9,1.1,0.4,1.5,0.0,0.2,1.0,54.0,4.4,48,60,162,300,35.0,70.8,19.3,28.7,36.2,35.2,6,300,71,229,37.5,2.3,77.8,80.4,1.4,0.0
1.8,0.2,1.9,1.1,0.4,1.5,5.0,0.2,1.0,54.0,4.6,50,62,162,300,34.7,76.2,23.7,27.7,39.8,30.2,6,300,78,222,41.7,2.2,78.6,80.5,1.4,0.0
1.8,0.2,1.9,1.1,0.4,1.5,15.0,0.0,1.0,58.0,8.1,48,70,174,300,36.7,73.0,21.7,30.8,39.5,34.3,6,300,77,223,46.4,2.5,78.0,80.6,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,15.0,0.2,1.0,58.0,8.1,48,70,174,300,36.7,73.0,21.7,30.8,39.5,34.3,6,300,77,223,46.4,2.5,78.0,80.6,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,15.0,0.4,1.0,58.0,8.1,48,70,174,300,36.7,73.0,21.7,30.8,39.5,34.3,6,300,77,223,46.4,2.5,78.0,80.6,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,20.0,0.0,1.0,58.0,8.1,48,70,174,300,36.7,73.0,21.7,30.8,39.5,34.3,6,300,77,223,46.4,2.5,78.0,80.6,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,20.0,0.2,1.0,58.0,8.1,48,70,174,300,36.7,73.0,21.7,30.8,39.5,34.3,6,300,77,223,46.4,2.5,78.0,80.6,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,20.0,0.4,1.0,58.0,8.1,48,70,174,300,36.7,73.0,21.7,30.8,39.5,34.3,6,300,77,223,46.4,2.5,78.0,80.6,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,5.0,0.0,1.0,55.3,5.6,50,66,166,300,33.3,77.0,17.8,33.5,38.7,29.2,6,300,78,222,47.7,2.4,77.8,80.4,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,10.0,0.0,1.0,58.0,2.8,54,62,174,300,34.0,73.0,21.2,35.3,31.7,36.2,6,300,82,218,44.8,2.5,78.1,81.1,1.2,0.0
1.8,0.2,1.9,1.1,0.4,1.5,0.0,0.4,1.0,52.0,4.6,46,58,156,300,30.7,77.2,19.0,24.8,35.3,26.7,6,300,68,232,40.0,2.0,77.5,78.9,1.1,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,73.3,7.0,66,84,220,300,14.3,76.0,73.5,52.5,5.8,46.7,6,300,207,93,24.9,12.4,37.3,38.8,0.3,0.0
