tx_base,tx_slope,tx_pow,dtx_base,dtx_slope,dtx_pow,rx_base,rx_slope,rx_pow,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
1.8,0.2,1.9,1.1,0.4,1.5,0.0,0.0,1.0,54.0,5.2,50,64,162,300,38.3,78.7,18.3,25.5,41.5,35.3,6,300,66,234,15.5,2.7,84.2,85.0,2.0,0.0
1.8,0.2,1.9,1.1,0.4,1.5,5.0,0.2,1.0,54.3,4.3,48,58,163,300,41.3,78.7,16.3,35.2,43.3,38.3,6,300,77,223,15.0,2.5,84.5,85.8,1.9,0.0
1.8,0.2,1.9,1.1,0.4,1.5,10.0,0.0,1.0,57.7,4.5,50,64,173,300,42.0,77.2,16.2,36.3,42.3,42.5,6,300,79,221,13.9,2.5,84.7,85.5,1.9,0.0
1.8,0.2,1.9,1.1,0.4,1.5,0.0,0.4,1.0,56.3,2.9,52,60,169,300,38.7,79.8,17.0,29.8,40.7,36.3,6,300,71,229,15.0,2.6,84.3,84.5,1.8,0.0
1.8,0.2,1.9,1.1,0.4,1.5,5.0,0.4,1.0,60.7,5.9,50,66,182,300,37.0,79.5,17.8,33.8,39.2,36.3,6,300,75,225,18.3,3.1,84.1,85.5,1.8,0.0
1.8,0.2,1.9,1.1,0.4,1.5,10.0,0.4,1.0,57.3,5.9,52,68,172,300,39.0,82.2,19.3,35.0,40.2,38.2,6,300,81,219,15.6,2.6,84.5,85.4,1.8,0.0
1.8,0.2,1.9,1.1,0.4,1.5,20.0,0.0,1.0,56.3,6.9,50,68,169,300,36.7,77.8,17.0,28.8,38.8,35.0,6,300,70,230,13.4,2.5,85.1,85.9,1.8,0.0
1.8,0.2,1.9,1.1,0.4,1.5,0.0,0.2,1.0,56.3,8.7,48,68,169,300,33.0,72.7,19.7,32.0,37.7,28.2,6,300,76,224,16.5,2.9,84.7,85.3,1.8,0.0
1.8,0.2,1.9,1.1,0.4,1.5,15.0,0.0,1.0,56.3,6.9,50,68,169,300,36.7,77.8,17.0,28.8,38.8,35.0,6,300,70,230,13.4,2.5,85.1,85.9,1.8,0.0
1.8,0.2,1.9,1.1,0.4,1.5,15.0,0.2,1.0,56.3,6.9,50,68,169,300,36.7,77.8,17.0,28.8,38.8,35.0,6,300,70,230,13.4,2.5,85.1,85.9,1.8,0.0
1.8,0.2,1.9,1.1,0.4,1.5,15.0,0.4,1.0,56.3,6.9,50,68,169,300,36.7,77.8,17.0,28.8,38.8,35.0,6,300,70,230,13.4,2.5,85.1,85.9,1.8,0.0
1.8,0.2,1.9,1.1,0.4,1.5,20.0,0.2,1.0,56.3,6.9,50,68,169,300,36.7,77.8,17.0,28.8,38.8,35.0,6,300,70,230,13.3,2.5,85.1,85.9,1.8,0.0
1.8,0.2,1.9,1.1,0.4,1.5,20.0,0.4,1.0,56.3,6.9,50,68,169,300,36.7,77.8,17.0,28.8,38.8,35.0,6,300,70,230,13.3,2.5,85.1,85.9,1.8,0.0
1.8,0.2,1.9,1.1,0.4,1.5,10.0,0.2,1.0,60.0,4.7,52,66,180,300,38.0,81.2,18.5,34.2,39.3,37.0,6,300,80,220,14.3,2.4,84.6,85.3,1.7,0.0
1.8,0.2,1.9,1.1,0.4,1.5,5.0,0.0,1.0,55.3,2.7,52,60,166,300,37.0,80.5,17.2,32.3,38.3,35.8,6,300,74,226,13.8,2.3,84.4,85.2,1.6,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,76.0,4.2,72,82,228,300,6.3,74.7,77.7,40.8,4.0,22.8,6,300,215,85,11.7,6.4,58.2,58.6,0.1,0.0
