tx_base,tx_slope,tx_pow,dtx_base,dtx_slope,dtx_pow,rx_base,rx_slope,rx_pow,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
1.8,0.2,1.9,1.1,0.4,1.5,0.0,0.2,1.0,62.7,2.7,58,66,188,300,46.0,60.8,22.3,54.7,27.0,63.8,6,300,117,183,1.2,0.0,93.5,94.4,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,0.0,0.0,1.0,66.7,2.7,62,70,200,300,44.0,59.3,22.3,55.8,28.2,60.2,6,300,116,184,1.3,0.0,93.5,94.1,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,0.0,0.4,1.0,66.7,2.7,62,70,200,300,44.0,59.3,22.3,55.8,28.2,60.2,6,300,116,184,1.3,0.0,93.5,94.1,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,5.0,0.0,1.0,66.7,2.7,62,70,200,300,44.0,59.3,22.3,55.8,28.2,60.2,6,300,116,184,1.3,0.0,93.5,94.1,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,5.0,0.2,1.0,66.7,2.7,62,70,200,300,44.0,59.3,22.3,55.8,28.2,60.2,6,300,116,184,1.3,0.0,93.5,94.1,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,5.0,0.4,1.0,66.7,2.7,62,70,200,300,44.0,59.3,22.3,55.8,28.2,60.2,6,300,116,184,1.3,0.0,93.5,94.1,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,10.0,0.0,1.0,66.7,2.7,62,70,200,300,44.0,59.3,22.3,55.8,28.2,60.2,6,300,116,184,1.3,0.0,93.5,94.1,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,10.0,0.2,1.0,66.7,2.7,62,70,200,300,44.0,59.3,22.3,55.8,28.2,60.2,6,300,116,184,1.3,0.0,93.5,94.1,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,10.0,0.4,1.0,66.7,2.7,62,70,200,300,44.0,59.3,22.3,55.8,28.2,60.2,6,300,116,184,1.3,0.0,93.5,94.1,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,15.0,0.0,1.0,66.7,2.7,62,70,200,300,44.0,59.3,22.3,55.8,28.2,60.2,6,300,116,184,1.3,0.0,93.5,94.1,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,15.0,0.2,1.0,66.7,2.7,62,70,200,300,44.0,59.3,22.3,55.8,28.2,60.2,6,300,116,184,1.3,0.0,93.5,94.1,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,15.0,0.4,1.0,66.7,2.7,62,70,200,300,44.0,59.3,22.3,55.8,28.2,60.2,6,300,116,184,1.3,0.0,93.5,94.1,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,20.0,0.0,1.0,66.7,2.7,62,70,200,300,44.0,59.3,22.3,55.8,28.2,60.2,6,300,116,184,1.3,0.0,93.5,94.1,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,20.0,0.2,1.0,66.7,2.7,62,70,200,300,44.0,59.3,22.3,55.8,28.2,60.2,6,300,116,184,1.3,0.0,93.5,94.1,1.3,0.0
1.8,0.2,1.9,1.1,0.4,1.5,20.0,0.4,1.0,66.7,2.7,62,70,200,300,44.0,59.3,22.3,55.8,28.2,60.2,6,300,116,184,1.3,0.0,93.5,94.1,1.3,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,70.0,1.8,68,72,210,300,0.0,64.7,67.3,,0.0,,6,300,202,98,3.9,0.0,79.7,0.0,0.0,0.0
