tx_base,tx_slope,tx_pow,dtx_base,dtx_slope,dtx_pow,rx_base,rx_slope,rx_pow,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
1.8,0.4,0.5,1.1,0.4,1.0,0.0,0.0,1.0,69.0,4.1,62,74,207,300,54.7,69.0,37.8,55.8,45.7,59.0,6,300,152,148,0.7,0.0,93.3,93.5,1.2,0.0
2.1,0.2,1.0,1.4,0.2,0.5,0.0,0.0,1.0,70.3,5.0,64,78,211,300,54.0,70.7,32.8,62.8,36.5,64.3,6,300,154,146,0.7,0.0,93.5,93.9,1.2,0.0
2.1,0.4,0.5,1.4,0.2,1.0,0.0,0.0,1.0,75.3,3.9,70,80,226,300,59.7,71.0,33.8,63.3,43.3,68.5,6,300,160,140,0.6,0.0,93.7,93.5,1.2,0.0
1.8,0.4,1.0,1.4,0.4,1.0,0.0,0.0,1.0,72.3,4.6,64,78,217,300,56.0,65.3,37.3,60.0,40.8,64.5,6,300,157,143,0.6,0.0,93.6,94.0,1.2,0.0
2.1,0.4,0.5,1.4,0.2,0.5,0.0,0.0,1.0,68.0,7.5,60,82,204,300,54.3,70.7,37.3,57.7,39.0,63.3,6,300,151,149,0.7,0.0,92.9,93.2,1.2,0.0
1.5,0.2,1.0,1.4,0.0,1.0,0.0,0.0,1.0,70.0,5.2,62,76,210,300,56.0,72.7,38.0,61.8,42.5,62.5,6,300,163,137,0.7,0.0,93.5,93.8,1.2,0.0
1.5,0.4,1.0,0.8,0.2,1.0,0.0,0.0,1.0,71.7,4.6,64,76,215,300,58.0,68.8,35.0,65.3,45.0,64.7,6,300,169,131,0.7,0.0,93.9,94.5,1.2,0.0
1.5,0.4,1.0,0.8,0.4,0.5,0.0,0.0,1.0,70.0,5.8,62,76,210,300,55.7,66.8,32.5,64.8,40.5,65.8,6,300,160,140,0.7,0.0,93.5,93.8,1.2,0.0
1.5,0.4,1.0,1.4,0.0,1.0,0.0,0.0,1.0,72.0,4.2,66,76,216,300,58.0,73.0,38.5,61.2,44.3,64.2,6,300,163,137,0.7,0.0,93.7,93.8,1.2,0.0
2.1,0.2,0.5,1.4,0.2,1.0,0.0,0.0,1.0,69.0,6.3,60,78,207,300,55.3,68.7,42.5,56.8,46.5,61.3,6,300,153,147,0.7,0.0,93.0,93.0,1.2,0.0
