tx_base,tx_slope,dtx_base,dtx_slope,rx_base,rx_slope,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
2.0,0.2,1.0,0.4,2.0,0.0,46.0,4.6,40,52,138,300,32.3,71.8,20.2,34.8,28.5,38.0,6,300,79,221,37.6,1.9,75.2,76.4,1.3,0.0
2.0,0.4,0.5,0.4,0.0,0.0,48.3,5.1,42,56,145,300,28.7,65.5,16.3,34.2,22.2,38.2,6,300,72,228,39.3,2.3,77.2,78.5,1.3,0.0
2.0,0.4,0.5,0.4,0.0,0.4,46.0,4.6,40,52,138,300,30.3,76.3,17.3,32.5,25.2,37.5,6,300,72,228,36.9,2.1,77.8,79.5,1.3,0.0
2.0,0.2,1.0,0.4,0.0,0.4,46.0,5.1,40,52,138,300,28.0,68.8,23.8,29.5,28.3,28.0,6,300,80,220,37.4,1.8,75.0,76.1,1.3,0.0
1.0,0.4,0.5,0.2,0.0,0.4,45.7,7.7,36,54,137,300,32.0,72.8,18.8,34.0,29.0,36.0,6,300,77,223,40.8,2.1,75.7,77.2,1.3,0.0
1.0,0.4,1.0,0.4,4.0,0.4,44.7,5.0,40,54,134,300,29.0,69.5,19.8,30.2,29.5,28.5,6,300,74,226,40.1,2.2,76.0,77.5,1.3,0.0
2.0,0.2,1.0,0.2,0.0,0.4,46.3,4.5,38,50,139,300,30.0,70.8,18.5,36.2,26.8,35.3,6,300,78,222,47.4,2.3,74.8,76.2,1.3,0.0
2.0,0.4,0.5,0.4,2.0,0.2,46.7,4.8,38,52,140,300,32.3,73.3,15.8,39.2,28.7,38.7,6,300,78,222,46.9,2.3,77.2,78.7,1.3,0.0
2.0,0.4,0.5,0.2,0.0,0.2,49.7,3.9,46,56,149,300,27.3,74.0,17.0,36.7,23.2,34.0,6,300,75,225,49.4,2.5,77.0,78.6,1.3,0.0
0.5,0.4,1.0,0.4,4.0,0.2,50.0,5.2,42,56,150,300,29.3,62.5,24.5,36.7,22.5,41.3,6,300,86,214,41.8,2.0,74.9,77.4,1.2,0.0
