tx_base,tx_slope,tx_pow,dtx_base,dtx_slope,dtx_pow,rx_base,rx_slope,rx_pow,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,59.3,7.2,52,70,178,300,40.7,72.0,52.3,60.0,32.7,46.2,6,300,170,130,46.3,28.5,34.9,32.1,0.9,0.0
1.9,0.0,0.7,0.9,0.3,0.7,0.0,0.0,1.0,48.3,5.6,38,54,145,300,24.0,61.2,20.2,33.0,22.5,29.7,6,300,73,227,92.8,3.5,69.6,70.7,1.1,0.0
1.9,0.0,0.7,0.9,0.3,1.1,0.0,0.0,1.0,50.3,5.4,44,56,151,300,30.3,63.0,21.7,36.7,24.8,42.3,6,300,78,222,79.8,2.9,69.5,71.0,1.2,0.0
1.9,0.0,0.7,0.9,0.3,1.5,0.0,0.0,1.0,46.3,6.1,36,54,139,300,24.7,66.2,25.3,25.2,23.7,27.3,6,300,74,226,65.1,2.6,69.7,70.7,1.0,0.0
1.9,0.0,0.7,0.9,0.3,1.9,0.0,0.0,1.0,46.0,5.1,40,52,138,300,25.0,67.2,22.2,24.8,23.2,29.2,6,300,68,232,77.6,3.0,69.6,70.9,1.2,0.0
1.9,0.0,0.7,0.9,0.5,0.7,0.0,0.0,1.0,47.3,5.9,42,58,142,300,25.7,65.3,25.3,24.3,25.3,27.8,6,300,74,226,74.5,2.9,69.8,70.4,1.0,0.0
1.9,0.0,0.7,0.9,0.5,1.1,0.0,0.0,1.0,45.7,5.1,40,52,137,300,22.7,71.5,24.7,24.8,20.5,28.3,6,300,72,228,68.9,2.6,69.8,71.3,1.0,0.0
1.9,0.0,0.7,0.9,0.5,1.5,0.0,0.0,1.0,47.3,5.6,38,54,142,300,27.0,65.7,26.5,20.2,26.0,29.5,6,300,69,231,72.1,2.9,70.0,71.4,1.3,0.0
1.9,0.0,0.7,0.9,0.5,1.9,0.0,0.0,1.0,47.3,5.5,42,56,142,300,23.3,72.0,24.7,16.3,25.0,22.0,6,300,65,235,70.4,2.8,69.7,70.5,1.2,0.0
1.9,0.0,0.7,0.9,0.7,0.7,0.0,0.0,1.0,48.0,2.2,44,50,144,300,23.0,71.0,22.7,23.2,22.3,26.3,6,300,73,227,77.7,2.9,69.2,70.3,1.1,0.0
1.9,0.0,0.7,0.9,0.7,1.1,0.0,0.0,1.0,46.0,5.8,38,54,138,300,23.7,67.8,24.8,23.2,22.2,27.2,6,300,70,230,74.1,2.9,69.5,71.1,1.1,0.0
1.9,0.0,0.7,0.9,0.7,1.5,0.0,0.0,1.0,47.0,3.9,40,50,141,300,26.0,69.8,27.2,27.0,23.8,30.5,6,300,79,221,76.4,2.9,69.7,71.4,1.1,0.0
1.9,0.0,0.7,0.9,0.7,1.9,0.0,0.0,1.0,46.7,6.0,40,54,140,300,25.0,65.2,25.0,22.3,22.8,30.0,6,300,71,229,69.9,2.7,70.0,71.1,1.2,0.0
1.9,0.0,0.7,1.1,0.3,0.7,0.0,0.0,1.0,45.7,4.6,40,50,137,300,23.0,68.7,22.7,25.2,23.8,23.5,6,300,72,228,75.8,3.0,69.8,71.8,1.1,0.0
1.9,0.0,0.7,1.1,0.3,1.1,0.0,0.0,1.0,46.7,8.0,36,56,140,300,25.3,67.7,21.5,28.7,23.8,31.0,6,300,72,228,78.8,3.1,69.5,71.0,1.2,0.0
