rxdelay,txdelay,direct_txdelay,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,n_seeds
0.0,0.0,1.0,30.7,1.2,29,32,313,1020,18.3,49.7,3
0.5,0.0,1.0,30.7,1.2,29,32,313,1020,18.3,49.7,3
1.0,0.0,1.0,30.7,1.2,29,32,313,1020,18.3,49.7,3
0.0,0.0,2.0,30.3,0.9,29,31,310,1020,17.0,53.7,3
0.5,0.0,2.0,30.3,0.9,29,31,310,1020,17.0,53.7,3
1.0,0.0,2.0,30.3,0.9,29,31,310,1020,17.0,53.7,3
0.0,0.0,0.5,29.3,1.2,28,31,298,1020,15.7,54.0,3
0.0,0.0,3.0,29.3,1.2,28,31,299,1020,16.0,53.7,3
0.5,0.0,0.5,29.3,1.2,28,31,298,1020,15.7,54.0,3
0.5,0.0,3.0,29.3,1.2,28,31,299,1020,16.0,53.7,3
1.0,0.0,0.5,29.3,1.2,28,31,298,1020,15.7,54.0,3
1.0,0.0,3.0,29.3,1.2,28,31,299,1020,16.0,53.7,3
0.0,0.0,1.5,29.3,2.4,26,31,299,1020,15.3,53.0,3
0.5,0.0,1.5,29.3,2.4,26,31,299,1020,15.3,53.0,3
1.0,0.0,1.5,29.3,2.4,26,31,299,1020,15.3,53.0,3
0.0,0.0,0.0,28.7,3.3,25,33,291,1020,14.7,50.0,3
0.5,0.0,0.0,28.7,3.3,25,33,291,1020,14.7,50.0,3
1.0,0.0,0.0,28.7,3.3,25,33,291,1020,14.7,50.0,3
0.0,0.0,2.5,26.7,2.1,24,29,273,1020,15.3,52.0,3
0.5,0.0,2.5,26.7,2.1,24,29,273,1020,15.3,52.0,3
1.0,0.0,2.5,26.7,2.1,24,29,273,1020,15.3,52.0,3
0.0,0.3,1.0,26.3,0.5,26,27,268,1020,17.3,62.0,3
0.0,0.6,1.5,26.3,0.5,26,27,268,1020,16.3,64.0,3
0.5,0.3,1.0,26.3,0.5,26,27,268,1020,17.3,62.0,3
0.5,0.6,1.5,26.3,0.5,26,27,268,1020,16.3,64.0,3
1.0,0.3,1.0,26.3,0.5,26,27,268,1020,17.3,62.0,3
1.0,0.6,1.5,26.3,0.5,26,27,268,1020,16.3,64.0,3
0.0,0.3,0.5,25.0,0.8,24,26,253,1020,17.7,63.3,3
0.5,0.3,0.5,25.0,0.8,24,26,253,1020,17.7,63.3,3
1.0,0.3,0.5,25.0,0.8,24,26,253,1020,17.7,63.3,3
0.0,0.6,0.0,24.7,1.2,23,26,254,1020,16.3,60.0,3
0.5,0.6,0.0,24.7,1.2,23,26,254,1020,16.3,60.0,3
1.0,0.6,0.0,24.7,1.2,23,26,254,1020,16.3,60.0,3
0.0,0.3,2.5,24.3,0.5,24,25,250,1020,16.0,62.3,3
0.5,0.3,2.5,24.3,0.5,24,25,250,1020,16.0,62.3,3
1.0,0.3,2.5,24.3,0.5,24,25,250,1020,16.0,62.3,3
0.0,0.3,1.5,24.3,1.2,23,26,249,1020,14.0,64.0,3
0.5,0.3,1.5,24.3,1.2,23,26,249,1020,14.0,64.0,3
1.0,0.3,1.5,24.3,1.2,23,26,249,1020,14.0,64.0,3
0.0,0.6,3.0,24.0,2.2,21,26,246,1020,17.3,65.0,3
0.5,0.6,3.0,24.0,2.2,21,26,246,1020,17.3,65.0,3
1.0,0.6,3.0,24.0,2.2,21,26,246,1020,17.3,65.0,3
0.0,0.6,0.5,24.0,2.8,20,26,243,1020,17.3,62.7,3
0.0,0.6,2.5,24.0,2.8,22,28,246,1020,14.3,63.3,3
0.5,0.6,0.5,24.0,2.8,20,26,243,1020,17.3,62.7,3
0.5,0.6,2.5,24.0,2.8,22,28,246,1020,14.3,63.3,3
1.0,0.6,0.5,24.0,2.8,20,26,243,1020,17.3,62.7,3
1.0,0.6,2.5,24.0,2.8,22,28,246,1020,14.3,63.3,3
0.0,0.3,0.0,24.0,3.3,20,28,244,1020,16.0,61.7,3
0.5,0.3,0.0,24.0,3.3,20,28,244,1020,16.0,61.7,3
1.0,0.3,0.0,24.0,3.3,20,28,244,1020,16.0,61.7,3
0.0,0.6,2.0,23.7,1.2,22,25,243,1020,15.3,62.7,3
0.5,0.6,2.0,23.7,1.2,22,25,243,1020,15.3,62.7,3
1.0,0.6,2.0,23.7,1.2,22,25,243,1020,15.3,62.7,3
0.0,0.6,1.0,23.3,0.5,23,24,235,1020,16.7,65.3,3
0.5,0.6,1.0,23.3,0.5,23,24,235,1020,16.7,65.3,3
1.0,0.6,1.0,23.3,0.5,23,24,235,1020,16.7,65.3,3
0.0,0.3,2.0,23.0,2.2,21,26,236,1020,14.7,63.0,3
0.5,0.3,2.0,23.0,2.2,21,26,236,1020,14.7,63.0,3
1.0,0.3,2.0,23.0,2.2,21,26,236,1020,14.7,63.0,3
0.0,0.3,3.0,22.0,2.4,19,25,223,1020,14.3,63.3,3
0.5,0.3,3.0,22.0,2.4,19,25,223,1020,14.3,63.3,3
1.0,0.3,3.0,22.0,2.4,19,25,223,1020,14.3,63.3,3
