rxdelay,txdelay,direct_txdelay,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,n_seeds
0.0,0.0,0.6,24.7,2.1,23,27,252,1020,14.3,55.3,3
0.0,0.3,0.4,24.3,3.1,21,27,245,1020,14.7,56.0,3
0.0,0.0,0.8,23.3,3.1,20,26,238,1020,13.3,55.7,3
0.0,0.1,0.4,23.3,3.2,21,27,241,1020,13.0,55.0,3
0.0,0.0,0.4,23.0,3.6,20,27,237,1020,12.3,56.0,3
0.1,0.0,0.6,22.7,0.6,22,23,232,1020,12.3,54.3,3
0.1,0.1,0.4,22.7,2.1,21,25,231,1020,15.7,59.0,3
0.0,0.3,0.6,22.7,2.3,20,24,230,1020,14.7,57.0,3
0.1,0.1,0.6,22.7,2.5,20,25,231,1020,12.0,55.7,3
0.1,0.0,0.8,22.3,1.2,21,23,226,1020,12.0,50.7,3
0.0,0.5,0.4,22.3,2.9,19,24,229,1020,15.3,59.0,3
0.0,0.1,0.8,22.3,3.2,20,26,226,1020,13.0,52.3,3
0.0,0.2,0.8,22.0,1.0,21,23,222,1020,13.0,59.7,3
0.1,0.1,0.8,21.7,0.6,21,22,221,1020,12.3,55.3,3
0.0,0.3,0.8,21.7,2.1,20,24,223,1020,13.7,57.0,3
0.0,0.2,0.6,21.7,2.5,19,24,221,1020,12.7,57.0,3
0.1,0.0,0.4,21.7,2.5,19,24,223,1020,13.3,53.3,3
0.1,0.4,0.8,21.3,2.1,19,23,217,1020,14.3,59.3,3
0.1,0.2,0.4,21.3,3.1,18,24,216,1020,13.3,57.7,3
0.0,0.4,0.4,21.3,3.5,18,25,219,1020,14.3,55.0,3
0.0,0.1,0.6,20.7,1.5,19,22,212,1020,12.0,56.3,3
0.1,0.2,0.6,20.7,1.5,19,22,208,1020,13.7,57.0,3
0.1,0.5,0.8,20.7,2.1,19,23,211,1020,13.3,59.0,3
0.1,0.3,0.6,20.7,2.3,18,22,211,1020,13.7,56.3,3
0.1,0.4,0.4,20.7,4.2,16,24,211,1020,13.0,59.0,3
0.0,0.4,0.6,20.3,0.6,20,21,209,1020,11.7,57.0,3
0.1,0.3,0.8,20.3,1.2,19,21,207,1020,13.0,56.3,3
0.0,0.2,0.4,20.3,1.5,19,22,206,1020,12.3,55.3,3
0.0,0.5,0.6,20.3,1.5,19,22,207,1020,13.0,57.7,3
0.1,0.3,0.4,20.3,1.5,19,22,208,1020,13.3,56.3,3
0.1,0.5,0.4,20.3,2.5,18,23,207,1020,13.3,59.3,3
0.1,0.5,0.6,20.3,4.0,16,24,209,1020,13.0,60.3,3
0.1,0.2,0.8,20.0,2.6,17,22,205,1020,13.0,57.7,3
0.0,0.5,0.8,20.0,3.6,17,24,204,1020,14.7,56.7,3
0.0,0.4,0.8,19.7,0.6,19,20,200,1020,11.7,59.7,3
0.1,0.4,0.6,19.0,2.0,17,21,193,1020,12.7,59.7,3
